,trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
1,50.0,12.29,Winter tires,0,0,1,Normal,15.5,0,1,47.0,-1.3
2,43.0,8.68,Winter tires,0,1,1,Normal,18.0,0,1,58.0,1.2
3,44.0,1.5,Winter tires,0,1,1,Normal,16.1,0,1,43.0,-0.7
4,76.0,14.44,Winter tires,0,1,0,Normal,19.0,0,1,76.0,2.2
5,15.0,6.84,Winter tires,1,0,0,Normal,16.1,0,1,23.0,-0.7
6,63.0,7.1,Winter tires,0,1,0,Fast,18.3,0,1,80.0,1.5
7,85.0,15.3,Winter tires,0,1,1,Fast,18.0,0,1,47.0,1.2
8,71.0,13.77,Winter tires,0,0,1,Fast,19.4,0,1,45.0,2.6
9,76.0,14.26,Winter tires,0,0,1,Normal,15.8,0,1,78.0,-1.0
10,80.0,13.08,Winter tires,0,0,1,Moderate,14.0,0,0,52.0,-2.8
11,59.0,4.61,Winter tires,0,0,1,Moderate,14.6,0,0,66.0,-2.2
12,53.0,15.21,Winter tires,0,0,1,Normal,17.2,0,1,52.0,0.4
13,47.0,2.7,Winter tires,0,0,1,Normal,18.7,0,1,40.0,1.9
14,72.0,14.81,Winter tires,0,0,1,Normal,20.0,0,1,67.0,3.2
15,75.0,12.04,Winter tires,0,0,1,Normal,16.6,0,1,58.0,-0.2
16,57.0,12.87,Winter tires,0,0,1,Normal,16.3,0,1,54.0,-0.5
17,90.0,12.35,Winter tires,0,0,1,Normal,17.7,0,1,54.0,0.9
18,54.0,15.05,Winter tires,0,0,1,Normal,15.3,0,1,37.0,-1.5
19,38.0,8.6,Winter tires,0,0,1,Normal,15.7,0,1,51.0,-1.1
20,60.0,5.04,Winter tires,0,0,1,Normal,15.6,0,1,58.0,-1.2
21,60.0,3.0,Winter tires,0,0,1,Moderate,13.5,0,0,57.0,-3.3
22,44.0,7.92,Winter tires,1,0,1,Normal,16.2,0,1,53.0,-0.6
23,38.0,2.9,Winter tires,1,0,1,Normal,17.1,0,1,63.0,0.3
24,47.0,13.96,Winter tires,1,0,1,Normal,19.6,0,1,37.0,2.8
25,7.0,10.3,Winter tires,0,0,1,Fast,17.7,0,1,44.0,0.9
26,55.0,2.3,Winter tires,0,0,1,Fast,18.2,0,1,62.0,1.4
27,83.0,9.66,Winter tires,0,0,1,Normal,15.6,0,1,65.0,-1.2
28,78.0,13.77,Winter tires,0,0,1,Normal,15.7,0,1,67.0,-1.1
29,31.0,13.25,Winter tires,1,0,1,Normal,17.9,0,1,43.0,1.1
30,59.0,3.57,Winter tires,1,0,1,Normal,15.3,0,1,59.0,-1.5
31,62.0,9.73,Winter tires,1,0,1,Normal,15.7,0,1,44.0,-1.1
32,79.0,8.27,Winter tires,0,0,1,Normal,15.7,0,1,65.0,-1.1
33,33.0,4.93,Winter tires,0,0,1,Normal,16.6,0,1,67.0,-0.2
34,14.0,11.93,Winter tires,1,0,1,Normal,18.8,0,1,33.0,2.0
35,63.0,5.88,Winter tires,0,1,1,Normal,18.1,0,1,61.0,1.3
